編號,中文,網址
0,(坐姿)肩胛下壓,https://youtu.be/YqpvOlcNZ_A?si=YFKmmfTfKaf_Q1Ms
1,(坐姿)二頭肌彎舉,https://youtu.be/dPAXkbXtNj4?si=R4jKlXgKgbYXfdos
2,(坐姿)三頭肌伸展-1,https://youtu.be/WAsMa5xAiuo?si=dFkAkCxrvF98_Mdk
3,(坐姿)三頭肌伸展-2,https://youtu.be/yudbrO-6jJg?si=QsRMIIr7Z5Bd-o4n
4,(坐姿)深蹲,https://youtu.be/pMdrWSETDYM?si=MOgDC5iq6hrGEAs6
5,(坐姿)啞鈴側擺,https://youtu.be/dGVmkZ6QTEg?si=0G5gpJQEZJDq-CU4
6,(坐姿)雙手肩部推壓,https://youtu.be/ytb_bJbbLs0?si=0uWKRMmIJRfoIDmw
7,(坐姿)俯身划船,https://youtu.be/-rpMhaEZVPQ?si=n8kQBuk0rURg38zB
8,(坐姿)肩推,https://youtu.be/XsB7mVpOffU?si=aBzIsCTzILBmtYVo
9,(坐姿)雙手推磨,https://youtu.be/PjGUHhuXMlM?si=OW_9Jwc7MeDQsRRu
10,(坐姿)反向飛鳥,https://youtu.be/jbDlCvpTZYc?si=I_co6YUzIHwL37pN
11,(坐姿)抬腿,https://youtu.be/dYKoIPavowY?si=hxAeVqUvaM_ydKS7
12,(坐姿)側舉腿,https://youtu.be/pbjOzcJb5JI?si=RkZKD7D_NvrgxAlB
13,(坐姿)踮腳,https://youtu.be/3ADes169XhQ?si=F_4kNGmSGd-qsoa-
14,(站姿)一腳前一腳後加上上肢動作做重心位移,https://www.youtube.com/embed/vPWsJ7FSxsc?si=0ns3Aia-UY3RBl5i
15,(站姿)單腳前後左右點地,https://www.youtube.com/embed/SwszzHmGUyU?si=dU7nrgWoI5_9Uog5
16,(站姿)踮腳,https://www.youtube.com/embed/KnhxKUNSDDI?si=VMwjJcCsH7i5CmLq
17,(站姿)微深蹲,https://www.youtube.com/embed/YeC0CVvdP-Q?si=GFCUYkBAzlu-Nhy-
